Aircraft,Tail#,Flight Leg No,ATA Main,ATA Sub,ATA,ATA Description,LRU,DateAndTime,MDC Message,Status,Flight Phase,Type,Intermittent,Equation ID,Source,Diagnostic Data,Data Used to Determine Msg,ID,Flight#
AC10235,772SK,25995,21,61,21-61,TEMPERATURE CONTROL,GALLEY FAN,11/30/2020 22:19,LOW FAN SPEED,FAILED/WIRING,AIR,Service,0,B1-006902,AC10235O.SMH,,"350A ACSC 2 100002
350B ACSC 2 100003",4028670876325a27017632c10cb50322,SKW3281
AC15472,839SK,,38,10,Oct-38,POTABLE WATER,PWS SYSTEM,11/30/2020 22:18,CONFIGURATION FAULT,LRU OK/INFO,,Fault,,B1-007604,AC15472N.CFM,,350 PWS CNTRL UNIT 040151,4028670876189a4701761b4b5f08461d,
AC10248,603SK,,21,61,21-61,TEMPERATURE CONTROL,ACSC 1,11/30/2020 22:18,INTERNAL FAULT,FAILED/WIRING,,Fault,,B1-005812,AC102487.CFM,,,4028670876189a4701761b40f2d644f6,
AC15472,839SK,,38,10,Oct-38,POTABLE WATER,Y-HTR FWD VLV,11/30/2020 22:18,LOW CURRENT/OPEN,FAILED/WIRING,,Fault,,B1-008399,AC15472N.CFM,,354 PWS CNTRL UNIT 000001,4028670876189a4701761b4b5f17461e,
AC10192,728SK,,21,61,21-61,TEMPERATURE CONTROL,ACSC 1,11/30/2020 22:18,INTERNAL FAULT,FAILED/WIRING,,Fault,,B1-005812,AC10192E.CFM,,,4028670876189a4701761b40ea6944ed,
AC10248,603SK,,33,42,33-42,NAVIGATION LIGHTS,REAR PRIM NAV LT,11/30/2020 22:18,BULB FAILED/OPEN CIRCUIT,FAILED/WIRING,,Fault,,B1-007553,AC102487.CFM,,,4028670876189a4701761b40f2e644f7,
AC15086,809SK,,21,61,21-61,TEMPERATURE CONTROL,ACSC 1,11/30/2020 22:18,INTERNAL FAULT,FAILED/WIRING,,Fault,,B1-005812,AC15086M.CFM,,,4028670876189a4701761b4b3e524602,
AC15469,838SK,,32,61,32-61,Proximity-Sensor System (PSS),PSEU,11/30/2020 22:18,LA&LB IOC-6 BUS DEGRADED,LRU OK/INFO,,Fault,,B1-047818,AC154692.CFM,"350 PSEU 000201
351 PSEU 000001
352 PSEU 000001
353 PSEU 000001
354 PSEU 000001
355 PSEU 000202
357 PSEU 000002
360 PSEU 000002
361 PSEU 000002
362 PSEU 000002","350 PSEU 000201
355 PSEU 000202",4028670876189a4701761b4b5bdf461b,
AC15472,839SK,,38,10,Oct-38,POTABLE WATER,Y-HTR G1/G2 DRN,11/30/2020 22:18,LOW CURRENT/OPEN,FAILED/WIRING,,Fault,,B1-008401,AC15472N.CFM,,354 PWS CNTRL UNIT 000001,4028670876189a4701761b4b5f17461f,
AC15062,803SK,23485,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1A,11/30/2020 22:17,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-006952,AC15062K.SMH,"350 IAPS IOC 1A 600001
351 IAPS IOC 1A 600001
352 IAPS IOC 1A 626E70
354 IAPS IOC 1A 6FFF30
354 IAPS IOC 1A 600001
354 IAPS IOC 1A 600002
354 IAPS IOC 1A 600003","350 IAPS IOC 1A 600001
353 IOC 1A INPORTS 600001
353 IOC 1A INPORTS 600000
353 IOC 1A INPORTS 600002
353 IOC 1A INPORTS 600163",4028670876280d680176290646610fde,3803
AC15062,803SK,23485,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1B,11/30/2020 22:17,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-006987,AC15062K.SMH,"350 IAPS IOC 1B 600003
351 IAPS IOC 1B 600003
352 IAPS IOC 1B 625E20
354 IAPS IOC 1B 6FFF30
354 IAPS IOC 1B 600001
354 IAPS IOC 1B 600002
354 IAPS IOC 1B 600003","350 IAPS IOC 1B 600003
353 IOC 1B INPORTS 600001
353 IOC 1B INPORTS 600000
353 IOC 1B INPORTS 600002
353 IOC 1B INPORTS 600163",4028670876280d680176290646610fdf,3803
AC15458,834SK,,21,61,21-61,TEMPERATURE CONTROL,LAVATORY FAN,11/30/2020 22:17,LOW FAN SPEED,FAILED/WIRING,,Service,0,B1-007306,AC15458C.SMH,,"350A ACSC 1 100000
350B ACSC 1 100001",4028670876189a4701761b4b4fd94615,
AC10003,707SK,,21,61,21-61,TEMPERATURE CONTROL,ACSC 1,11/30/2020 22:16,INTERNAL FAULT,FAILED/WIRING,,Fault,,B1-005812,AC10003F.CFM,,,4028670876189a4701761b40e03244e4,
AC15060,800SK,,28,0,28-00,FUEL,FQGC,11/30/2020 22:16,INTERNAL FAULT,FAILED/WIRING,,Fault,,B1-006805,AC15060I.CFM,,,4028670876189a4701761b40f51444f9,
AC10003,707SK,,34,53,34-53,DME,DME 1,11/30/2020 22:16,INTERNAL FAULT,FAILED,,Fault,,B1-006424,AC10003F.CFM,,,4028670876189a4701761b40e04144e5,
AC10180,716SK,28279,21,61,21-61,TEMPERATURE CONTROL,LAVATORY FAN,11/30/2020 22:16,LOW FAN SPEED,FAILED/WIRING,AIR,Service,0,B1-007306,AC10180T.SMH,,"350A ACSC 1 100000
350B ACSC 1 100001",4028670876325a2701763335b1fc0aa2,3183
AC15060,800SK,,33,42,33-42,NAVIGATION LIGHTS,REAR PRIM NAV LT,11/30/2020 22:16,BULB FAILED/OPEN CIRCUIT,FAILED/WIRING,,Fault,,B1-007553,AC15060I.CFM,,,4028670876189a4701761b40f52444fa,
AC15451,827SK,,33,42,33-42,NAVIGATION LIGHTS,REAR PRIM NAV LT,11/30/2020 22:16,BULB FAILED/OPEN CIRCUIT,FAILED/WIRING,,Fault,,B1-007553,AC15451W.CFM,,"252 AIRCRAFT DISCR L 088001
252 AIRCRAFT DISCR R 088002",4028670876189a4701761b40fb6e44fe,
AC10214,753SK,26757,31,30,31-30,CREW FORCE MEAS SYS,R AIL FDR CFS,11/30/2020 22:15,R AIL FDR FORCE SENSOR,FAILED/WIRING,AIR,Service,0,B1-070186,AC10214I.SMH,,350 CTRL FORCE SNSR 00D000,40286708763ca6e201763e718c5930bc,3076
AC10214,753SK,26757,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2B,11/30/2020 22:15,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-007061,AC10214I.SMH,"350 IAPS IOC 2B 600000
351 IAPS IOC 2B 600000
352 IAPS IOC 2B 625E40
354 IAPS IOC 2B 6FFF30
354 IAPS IOC 2B 600001
354 IAPS IOC 2B 600002
354 IAPS IOC 2B 600003","350 IAPS IOC 2B 600000
353 IOC 2B INPORTS 600001
353 IOC 2B INPORTS 600000
353 IOC 2B INPORTS 600002
353 IOC 2B INPORTS 600163",40286708763ca6e201763e718c5930bd,3076
AC10214,753SK,26757,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2A,11/30/2020 22:15,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-007026,AC10214I.SMH,"350 IAPS IOC 2A 600002
351 IAPS IOC 2A 600002
352 IAPS IOC 2A 626E10
354 IAPS IOC 2A 6FFF30
354 IAPS IOC 2A 600002
354 IAPS IOC 2A 600001
354 IAPS IOC 2A 600003","350 IAPS IOC 2A 600002
353 IOC 2A INPORTS 600001
353 IOC 2A INPORTS 600000
353 IOC 2A INPORTS 600002
353 IOC 2A INPORTS 600163",40286708763ca6e201763e718c5930be,3076
AC10214,753SK,26757,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1B,11/30/2020 22:15,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,7,B1-006987,AC10214I.SMH,"350 IAPS IOC 1B 600003
351 IAPS IOC 1B 600003
352 IAPS IOC 1B 627E20
354 IAPS IOC 1B 6FFF30
354 IAPS IOC 1B 600001
354 IAPS IOC 1B 600002
354 IAPS IOC 1B 600003","350 IAPS IOC 1B 600003
353 IOC 1B INPORTS 600001
353 IOC 1B INPORTS 600000
353 IOC 1B INPORTS 600002
353 IOC 1B INPORTS 600163",40286708763ca6e201763e718c5930bf,3076
AC15162,162PQ,21213,30,0,30-00,ICE & RAIN PROTECTION,L COWL A/ICE SOV,11/30/2020 22:15,FAILED CLOSED,FAILED/WIRING,GROUND,Fault,0,B1-031999,AC151623.FMH,,"250 AIRCRAFT DISCR L 186001
256 AIRCRAFT DSCR2 L 000000
250 AIRCRAFT DISCR R 186002
256 AIRCRAFT DSCR2 R 000000",402867087689e66b01768ad1a28d0d1e,3802
AC10214,753SK,26757,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1A,11/30/2020 22:15,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,6,B1-006952,AC10214I.SMH,"350 IAPS IOC 1A 600001
351 IAPS IOC 1A 600001
352 IAPS IOC 1A 626E70
354 IAPS IOC 1A 6FFF30
354 IAPS IOC 1A 600001
354 IAPS IOC 1A 600002
354 IAPS IOC 1A 600003","350 IAPS IOC 1A 600001
353 IOC 1A INPORTS 600001
353 IOC 1A INPORTS 600000
353 IOC 1A INPORTS 600002
353 IOC 1A INPORTS 600173",40286708763ca6e201763e718c5930c0,3076
AC15133,689CA,20613,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1A,11/30/2020 22:15,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,1,B1-006952,AC15133G.SMH,"350 IAPS IOC 1A 000201
351 IAPS IOC 1A 020001
352 IAPS IOC 1A 627E70
354 IAPS IOC 1A 6FFF30
354 IAPS IOC 1A 002001
354 IAPS IOC 1A 600002
354 IAPS IOC 1A 600003","350 IAPS IOC 1A 000201
353 IOC 1A INPORTS 600001
353 IOC 1A INPORTS 600000
353 IOC 1A INPORTS 600002
353 IOC 1A INPORTS 600173",40286708762d33df01762da4b30c08e3,3706
AC15162,162PQ,21213,30,0,30-00,ICE & RAIN PROTECTION,R COWL A/ICE SOV,11/30/2020 22:15,FAILED CLOSED,FAILED/WIRING,GROUND,Fault,0,B1-039204,AC151623.FMH,,"250 AIRCRAFT DISCR L 1CE001
257 AIRCRAFT DSCR2 L 080000
250 AIRCRAFT DISCR R 1CE002
257 AIRCRAFT DSCR2 R 080000",402867087689e66b01768ad1a28d0d1f,3802
AC10203,748SK,,24,11,24-Nov,ELECTRICAL POWER GEN,GCU 2,11/30/2020 22:14,GCU SERVICE REQUIRED,MAINTENANCE,,Fault,,B1-006896,AC10203I.CFM,,,4028670876189a4701761b40ecaa44ef,
AC10203,748SK,,27,60,27-60,SPOILERS,SSCU 1,11/30/2020 22:14,NO L-RAC-1 BUS INPUT,LRU OK/INFO,,Fault,,B1-008022,AC10203I.CFM,,,4028670876189a4701761b40ecaa44f0,
AC10203,748SK,,34,44,34-44,Radio Altimeter System,RAD ALT/RAC 1,11/30/2020 22:14,NO OUTPUT/NO BUS TO IOC,OFF/NO OUTPUT,,Fault,,B1-007714,AC10203I.CFM,,,4028670876189a4701761b40ecba44f1,
AC10213,761ND,25908,78,31,78-31,THRUST REVERSERS,L TR GND RLY A,11/30/2020 22:13,RELAY OPEN OR ICV CLOSED,FAILED/WIRING,TAXI,Fault,0,B1-008204,AC10213I.FMH,,"255 AIRCRAFT DISCR L 0156C1
245 AIRCRAFT DISCR L 194101
273 AIRCRAFT DISCR L 0087A1
272A L FADEC 00965F
272B L FADEC 00965E",40286708764c1a0001764e28ef62241c,3 1 0 8
AC10229,764SK,26461,38,10,Oct-38,POTABLE WATER,AFT DRN-MAST HTR,11/30/2020 22:13,HIGH TEMP/HTR SNSR OPEN,FAILED/WIRING,GROUND,Fault,0,B1-005894,AC10229P.FMH,,351 PWS CNTRL UNIT 000C01,40286708761dc0a501761e1de6160149,3077
AC10248,603SK,,21,61,21-61,TEMPERATURE CONTROL,ACSC 1,11/30/2020 22:12,INTERNAL FAULT,FAILED/WIRING,,Fault,,B1-005812,AC102486.CFM,,,4028670876189a4701761b40f00044f3,
AC10139,703SK,28976,27,50,27-50,FLAPS AND SLATS,FLAP LEFT BPSU,11/30/2020 22:12,LEFT RESOLVER 1,FAILED/WIRING,GROUND,Fault,2,B1-006659,AC10139V.FMH,,"353F SFECU 1 000301
355F SFECU 1 000011
355F SFECU 2 000013",40286708761dc0a501761fdf89472c1a,
AC10248,603SK,,33,42,33-42,NAVIGATION LIGHTS,REAR PRIM NAV LT,11/30/2020 22:12,BULB FAILED/OPEN CIRCUIT,FAILED/WIRING,,Fault,,B1-007553,AC102486.CFM,,,4028670876189a4701761b40f01044f4,
AC10159,709SK,,31,41,31-41,Engine Indication and Crew Alerting System (EICAS),DCU 1,11/30/2020 22:11,FDR FAILURE,FAILED,,Fault,,B1-006250,AC10159O.CFM,,,4028670876189a4701761b40e57f44e9,
AC10159,709SK,28580,49,0,49-00,APU,APU ECU,11/30/2020 22:11,NO ECU-1 BUS TO DCU,FAILED/WIRING,TAXI,Fault,0,B1-005970,AC10159Z.FMH,"271 APU ECU 202001
350 APU ECU 000001
351 APU ECU 000001
352 APU ECU 000001
353 APU ECU 000001","273 AIRCRAFT DISCR L 0087E1
273 AIRCRAFT DISCR R 0087E2
351 DCU 1 000001
351 DCU 2 000002
351 DCU 3 ------",402867087637807c01763c9eb64057c2,3073
AC10122,641CA,29266,49,0,49-00,APU,APU ECU,11/30/2020 22:11,NO ECU-1 BUS TO DCU,FAILED/WIRING,TAXI,Fault,0,B1-005970,AC101229.FMH,"271 APU ECU 202001
350 APU ECU 000001
351 APU ECU 000001
352 APU ECU 000001
353 APU ECU 000001","273 AIRCRAFT DISCR L 0087E1
273 AIRCRAFT DISCR R 0087E2
351 DCU 1 000001
351 DCU 2 000002
351 DCU 3 ------",402867087651405b0176521c399a0ef8,4234
AC15162,162PQ,,31,41,31-41,Engine Indication and Crew Alerting System (EICAS),DCU 2,11/30/2020 22:11,FDR FAILURE,FAILED,,Fault,,B1-006314,AC15162U.CFM,,,4028670876189a4701761b40f89644fc,
AC10163,751EV,,33,42,33-42,NAVIGATION LIGHTS,REAR PRIM NAV LT,11/30/2020 22:10,BULB FAILED/OPEN CIRCUIT,FAILED/WIRING,,Fault,,B1-007553,AC10163D.CFM,,,4028670876189a4701761b40e88c44eb,
AC10211,759EV,430,49,0,49-00,APU,APU ECU,11/30/2020 22:10,NO ECU-1 BUS TO DCU,FAILED/WIRING,GROUND,Fault,0,B1-005970,AC102110.FMH,"271 APU ECU 202001
350 APU ECU 000001
351 APU ECU 000041
352 APU ECU 000001
353 APU ECU 000001","273 AIRCRAFT DISCR L 008001
273 AIRCRAFT DISCR R 008002
351 DCU 1 000001
351 DCU 2 000002
351 DCU 3 ------",40286708763ca6e201763e715f052ecd,3062
AC10292,790SK,18635,21,31,21-31,Cabin Pressure Control System,SAFETY VLV1,11/30/2020 22:10,OPEN POSITION SIGNAL,FAILED/WIRING,AIR,Service,1,B1-006171,AC10292V.SMH,,350 CPC 1 100001,40286708763ca6e201763ce8881b03e7,6003
AC10143,656CA,,33,42,33-42,NAVIGATION LIGHTS,REAR PRIM NAV LT,11/30/2020 22:10,BULB FAILED/OPEN CIRCUIT,FAILED/WIRING,,Fault,,B1-007553,AC10143K.CFM,,"252 AIRCRAFT DISCR L 088001
252 AIRCRAFT DISCR R 088002",4028670876189a4701761b40e22044e7,
AC10252,608SK,26154,21,31,21-31,Cabin Pressure Control System,SAFETY VLV1,11/30/2020 22:10,OPEN POSITION SIGNAL,FAILED/WIRING,AIR,Service,0,B1-006171,AC10252G.SMH,,350 CPC 1 100001,402867087637807c017637ba64cb00f6,3801
AC15162,162PQ,21213,78,31,78-31,THRUST REVERSERS,L TR F/BK ACT 3,11/30/2020 22:10,TR LVDT ACT 3&4 DISAGREE,FAILED/WIRING,TAXI,Fault,0,B1-113037,AC151623.FMH,,"352A L FADEC 100003
352B L FADEC 100002",402867087689e66b01768ad1a28d0d20,3802
AC10201,745SK,27499,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2A,11/30/2020 22:09,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-007026,AC102018.SMH,"350 IAPS IOC 2A 000202
351 IAPS IOC 2A 600002
352 IAPS IOC 2A 625E10
354 IAPS IOC 2A 6FFF30
354 IAPS IOC 2A 600002
354 IAPS IOC 2A 600001
354 IAPS IOC 2A 600003","350 IAPS IOC 2A 000202
353 IOC 2A INPORTS 600001
353 IOC 2A INPORTS 600000
353 IOC 2A INPORTS 600002
353 IOC 2A INPORTS 600163",402867087665d9d6017666b576411ed7,9900
AC10143,656CA,30150,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2B,11/30/2020 22:09,INPUT BUS ERROR,LRU OK/INFO,TAXI,Service,0,B1-007061,AC10143G.SMH,"350 IAPS IOC 2B 000200
351 IAPS IOC 2B 600000
352 IAPS IOC 2B 627E40
354 IAPS IOC 2B 6FFF30
354 IAPS IOC 2B 600001
354 IAPS IOC 2B 600002
354 IAPS IOC 2B 600003","350 IAPS IOC 2B 000200
353 IOC 2B INPORTS 600001
353 IOC 2B INPORTS 080000
353 IOC 2B INPORTS 600002
353 IOC 2B INPORTS 600163",402867087622e7170176239187c2067a,3859
AC10201,745SK,27499,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2B,11/30/2020 22:09,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-007061,AC102018.SMH,"350 IAPS IOC 2B 000200
351 IAPS IOC 2B 600000
352 IAPS IOC 2B 625E40
354 IAPS IOC 2B 6FFF30
354 IAPS IOC 2B 600001
354 IAPS IOC 2B 600002
354 IAPS IOC 2B 600003","350 IAPS IOC 2B 000200
353 IOC 2B INPORTS 600001
353 IOC 2B INPORTS 080000
353 IOC 2B INPORTS 600002
353 IOC 2B INPORTS 600163",402867087665d9d6017666b576411ed8,9900
AC10143,656CA,30150,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2A,11/30/2020 22:09,INPUT BUS ERROR,LRU OK/INFO,TAXI,Service,0,B1-007026,AC10143G.SMH,"350 IAPS IOC 2A 000202
351 IAPS IOC 2A 600002
352 IAPS IOC 2A 625E10
354 IAPS IOC 2A 6FFF30
354 IAPS IOC 2A 600002
354 IAPS IOC 2A 600001
354 IAPS IOC 2A 600003","350 IAPS IOC 2A 000202
353 IOC 2A INPORTS 600001
353 IOC 2A INPORTS 080000
353 IOC 2A INPORTS 600002
353 IOC 2A INPORTS 600163",402867087622e7170176239187c2067b,3859
AC15212,825SK,19596,71,0,71-00,POWER PLANT,R FMU,11/30/2020 22:09,FMV LVDT RNG FAULT CH B,FAILED/WIRING,AIR,Fault,2,B1-006793,AC152127.FMH,,"353B R FADEC 020000
353A R FADEC 000001",40286708765b8d1801765d5a2ace2c16,3738
AC15472,839SK,,21,61,21-61,TEMPERATURE CONTROL,GALLEY FAN,11/30/2020 22:08,LOW FAN SPEED,FAILED/WIRING,,Service,,B1-006902,AC15472K.CSM,,"350A ACSC 2 100002
350B ACSC 2 100003",4028670876189a4701761b371cdb44ba,
AC15472,839SK,,21,61,21-61,TEMPERATURE CONTROL,LAVATORY FAN,11/30/2020 22:08,LOW FAN SPEED,FAILED/WIRING,,Service,,B1-007306,AC15472K.CSM,,"350A ACSC 1 100000
350B ACSC 1 100001",4028670876189a4701761b371cdb44bb,
AC15472,839SK,,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2A,11/30/2020 22:08,INPUT BUS ERROR,LRU OK/INFO,,Service,,B1-007026,AC15472K.CSM,"350 IAPS IOC 2A 600002
351 IAPS IOC 2A 600002
352 IAPS IOC 2A 627E10
354 IAPS IOC 2A 6FFF30
354 IAPS IOC 2A 600002
354 IAPS IOC 2A 600001
354 IAPS IOC 2A 600003","350 IAPS IOC 2A 600002
353 IOC 2A INPORTS 600001
353 IOC 2A INPORTS 600000
353 IOC 2A INPORTS 600002
353 IOC 2A INPORTS 600193",4028670876189a4701761b371ceb44bc,
AC15472,839SK,,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2B,11/30/2020 22:08,INPUT BUS ERROR,LRU OK/INFO,,Service,,B1-007061,AC15472K.CSM,"350 IAPS IOC 2B 600000
351 IAPS IOC 2B 600000
352 IAPS IOC 2B 625E40
354 IAPS IOC 2B 6FFF30
354 IAPS IOC 2B 600001
354 IAPS IOC 2B 600002
354 IAPS IOC 2B 600003","350 IAPS IOC 2B 600000
353 IOC 2B INPORTS 600001
353 IOC 2B INPORTS 600000
353 IOC 2B INPORTS 600002
353 IOC 2B INPORTS 600193",4028670876189a4701761b371ceb44bd,
AC10284,784SK,,31,41,31-41,Engine Indication and Crew Alerting System (EICAS),DCU 1,11/30/2020 22:08,FDR FAILURE,FAILED,,Fault,,B1-006250,AC10284W.CFM,,,4028670876189a4701761b37072044a5,
AC15164,549CA,,21,61,21-61,TEMPERATURE CONTROL,ACSC 1,11/30/2020 22:08,INTERNAL FAULT,FAILED/WIRING,,Fault,,B1-005812,AC151642.CFM,,,4028670876189a4701761b37126644af,
AC15472,839SK,,38,10,Oct-38,POTABLE WATER,PWS CONFIG,11/30/2020 22:08,CONFIGURATION 17,LRU OK/INFO,,Service,,B1-007599,AC15472K.CSM,,"350 PWS CNTRL UNIT 040151
361 PWS CNTRL UNIT 000001",4028670876189a4701761b371cfa44be,
